nome,idade,cidade,turno,curso,nota
Ana,17,Campinas,manhã,Análise de Dados,8.5
Bruno,19,São Paulo,noite,Programação,7.2
Carla,18,Santos,tarde,Banco de Dados,9.1
Diego,16,Campinas,manhã,Programação,6.8
Elisa,20,Ribeirão Preto,noite,Análise de Dados,8.0
Felipe,18,Campinas,tarde,Banco de Dados,7.9
Gabriela,21,Santos,manhã,Programação,8.7
Henrique,17,Sorocaba,tarde,Análise de Dados,6.9
Isabela,19,São Paulo,manhã,Banco de Dados,9.3
João,18,Campinas,noite,Programação,7.5
Karen,16,Santos,tarde,Análise de Dados,8.1
Lucas,20,Campinas,manhã,Banco de Dados,8.8
